"cartId";"productId"
2;23294
3;88092
13;91378
17;53770
21;80186
23;40567
28;87761
33;48535
37;14287
53;43770
54;89280
69;62904
70;1436
72;63287
74;46067
79;58562
80;7243
84;35281
96;40859
100;78183
103;5321
105;67109
106;4020
116;89390
117;9038
121;35953
127;45903
132;71808
136;34896
140;17513
144;73884
145;93059
146;55858
148;69874
155;55548
157;68730
162;81570
168;35060
183;10215
186;65013
187;91506
188;93569
201;57617
202;90227
208;15547
210;17679
215;48871
222;26286
223;97162
224;25983
225;55940
228;22558
232;60754
238;17797
239;14390
249;45621
257;74325
267;701
269;70528
291;71563
293;8334
305;50636
306;22687
307;95567
308;49763
309;73659
322;4497
327;62764
329;55784
351;14548
355;10304
364;54769
373;65471
378;63555
384;13161
385;22888
404;4893
413;22375
417;12394
425;89395
437;45591
438;31656
440;40779
441;70577
443;97316
445;2063
448;34584
449;70972
450;67899
468;39015
469;18487
475;75527
484;6252
486;46566
488;39834
501;58295
506;75025
511;76490
516;43213
518;54099
520;63664
522;5668
531;83445
536;21211
546;87069
558;33681
566;59993
572;98577
580;93541
586;12733
592;85244
593;2925
596;3130
600;47165
602;30119
603;2423
609;31395
611;88160
622;89644
627;87277
635;69954
637;93838
641;41518
642;78414
643;22010
662;97835
672;18062
689;81561
698;6625
699;26039
700;56711
705;7048
709;42837
725;93120
726;2199
730;83281
732;58146
747;74352
749;33208
756;56631
757;13234
761;39788
764;74670
773;51128
774;57357
783;2529
785;77502
787;74973
788;499
800;9754
817;8953
822;25105
826;88966
827;6398
829;54842
830;14585
847;87146
850;484
851;86268
852;50363
854;11004
862;29099
863;51576
870;38654
874;6373
879;53916
885;47761
891;58143
893;50148
908;4965
911;40670
912;87349
921;57745
942;64376
943;25684
962;36151
963;8803
968;45415
971;56907
979;54433
980;17541
981;26876
986;27255
996;31492
997;94307
1002;44190
1005;47742
1021;80607
1023;20280
1037;54512
1044;27907
1055;26655
1058;51584
1059;81546
1075;83642
1083;14287
1084;95058
1089;83725
1104;90588
1110;83464
1115;1652
1126;51878
1127;9008
1132;37200
1134;12389
1136;37112
1150;50659
1152;66588
1156;58762
1157;37147
1163;92366
1190;71095
1194;89558
1199;97064
1200;6031
1203;74345
1205;75373
1231;37044
1239;41644
1246;73570
1276;38365
1290;46229
1293;19734
1300;60211
1306;97932
1320;86364
1324;23691
1325;5617
1333;42071
1343;41780
1345;15593
1351;2426
1361;3615
1364;51652
1366;62054
1369;29099
1384;11681
1386;85395
1403;90278
1404;11522
1407;41062
1408;75955
1412;85025
1425;68444
1433;6122
1436;78675
1446;74549
1453;64421
1463;32793
1465;40492
1467;37614
1473;54352
1480;2450
1489;35979
1495;74445
1506;61816
1509;58929
1516;77264
1517;39103
1528;4065
1539;74696
1550;93160
1552;91314
1556;21715
1557;73061
1573;96946
1580;86401
1588;52460
1595;67880
1596;31406
1603;38435
1611;47919
1625;32824
1627;37115
1630;33387
1639;44530
1643;57911
1655;39752
1659;36924
1668;14122
1671;8231
1675;13424
1683;59947
1699;14691
1701;73622
1709;38224
1713;87876
1719;67788
1723;83729
1724;77525
1733;72917
1748;83331
1764;8458
1768;53868
1776;38323
1778;87077
1783;69940
1786;73897
1787;42076
1811;90321
1814;86226
1816;14630
1829;24877
1836;29543
1840;20827
1842;6643
1856;70013
1857;37887
1870;32682
1879;86060
1882;33476
1887;30950
1888;29920
1889;95517
1904;52770
1908;98449
1915;77838
1924;94144
1925;10494
1935;22685
1938;95719
1942;9872
1944;4104
1946;41169
1950;99962
1952;44839
1953;96033
1963;60913
1965;34040
1972;54622
1985;13118
1988;1329
1996;74882
1999;82396
2008;50825
2009;7936
2013;90679
2014;1433
2015;6117
2016;72124
2017;52940
2026;17111
2032;72881
2046;67648
2050;25383
2063;8378
2075;6840
2078;72123
2096;62526
2097;70532
2100;85152
2104;52117
2108;33352
2109;69457
2114;36925
2140;70994
2144;10309
2151;90706
2152;39264
2162;22948
2190;30273
2197;158
2210;5662
2212;52240
2214;586
2216;14027
2218;94766
2221;6181
2223;66007
2225;22979
2230;6162
2232;37151
2236;84242
2242;12517
2243;48603
2252;27446
2255;67754
2261;22274
2264;22395
2269;4338
2282;18073
2286;69134
2302;19803
2306;50028
2322;94522
2332;13168
2334;53574
2337;15514
2343;23975
2351;77767
2356;27998
2361;77853
2362;56357
2363;45069
2367;99759
2369;57757
2382;33995
2391;53524
2395;4250
2396;15329
2402;64904
2418;49161
2425;91001
2429;81983
2439;80817
2448;25770
2451;37962
2470;47154
2475;60286
2480;67254
2492;6730
2502;94047
2503;59557
2514;6240
2517;45057
2519;61966
2524;81748
2532;23717
2533;99692
2535;24884
2544;49214
2552;5050
2557;21303
2560;26262
2568;44777
2582;88984
2600;50710
2604;91395
2624;42166
2629;70790
2640;96930
2643;72750
2652;43962
2653;96790
2656;18651
2658;24837
2665;86121
2670;76994
2673;10187
2674;33232
2684;94827
2703;2003
2736;77780
2744;99892
2754;47144
2764;34146
2771;20982
2785;14561
2791;30540
2797;81615
2803;6799
2807;98749
2815;88709
2819;29548
2824;54328
2833;4524
2834;37435
2841;59845
2868;51849
2876;49651
2878;17775
2879;12381
2881;26065
2891;44658
2894;70457
2900;49680
2903;7615
2905;92568
2926;14524
2932;20196
2934;12437
2948;69872
2949;8136
2953;91103
2955;9871
2957;32657
2971;36701
2972;35173
2973;8347
2974;638
2976;69366
2979;72429
2980;14147
2981;17953
2994;53642
2999;30710
3004;92161
3009;26436
3015;60036
3020;32576
3022;31335
3027;776
3031;98476
3040;15079
3066;12627
3075;1920
3076;99547
3085;88459
3088;91071
3100;44848
3101;9296
3109;49682
3113;79433
3137;30868
3153;29141
3156;33561
3157;80002
3176;78315
3177;6236
3180;9893
3183;57852
3184;71622
3202;9600
3204;42152
3223;51077
3227;17012
3232;67060
3234;36878
3236;78106
3240;73677
3245;68810
3246;60248
3253;37012
3255;67654
3259;48333
3271;2264
3277;95336
3287;48842
3299;5152
3305;85997
3314;35441
3322;12484
3323;63967
3324;23641
3328;93568
3329;41660
3335;32065
3336;34475
3340;73484
3342;57840
3345;70192
3355;17530
3358;13844
3373;48617
3374;62108
3375;6964
3377;68435
3379;46469
3385;65313
3392;6140
3419;67702
3437;2295
3441;13136
3448;47978
3449;35034
3453;42500
3465;6569
3476;29865
3485;60646
3486;79023
3497;32537
3499;21142
3500;66609
3503;21270
3505;700
3523;89229
3526;97214
3527;83624
3537;6164
3538;62453
3546;38797
3552;34098
3555;15534
3556;85633
3557;4899
3580;72892
3581;14961
3595;14016
3599;63380
3604;71393
3609;97329
3617;29202
3625;11405
3626;91492
3636;4928
3643;89657
3646;72
3647;17931
3648;1378
3651;38464
3660;17584
3661;5474
3665;23262
3679;76191
3680;77389
3687;91699
3698;60588
3705;4382
3708;92104
3720;52756
3721;32125
3741;82581
3745;46784
3752;93483
3753;53105
3764;61225
3779;63140
3780;38228
3786;53930
3788;24867
3792;59882
3793;23845
3794;14712
3799;78201
3802;98904
3804;46557
3820;15820
3823;27032
3833;96321
3836;95389
3838;9688
3854;63577
3858;39102
3860;4408
3867;98974
3887;70147
3888;29415
3889;77113
3896;80769
3903;79546
3904;14475
3905;61640
3907;30605
3909;10450
3910;9790
3913;2308
3920;2971
3924;13290
3926;92522
3928;29671
3933;56532
3934;22689
3940;56279
3943;53939
3948;82443
3960;44670
3962;50793
3969;86632
3972;43339
3974;17680
3980;37847
3985;70148
3992;52341
3993;73174
3994;33052
3996;53856
4008;71801
4013;98502
4020;55222
4023;86363
4028;8076
4060;42027
4062;56064
4063;62742
4077;67397
4086;20207
4091;43331
4092;96505
4093;31493
4096;61750
4103;21459
4107;26202
4127;98349
4147;94154
4166;42115
4171;56096
4183;57956
4188;59255
4202;34086
4203;54368
4213;65927
4220;33430
4225;61008
4226;4212
4227;75864
4230;56286
4232;55667
4238;55467
4244;74542
4257;73158
4261;40850
4272;80298
4275;41050
4279;41221
4286;43796
4288;72202
4313;36909
4319;41865
4331;22330
4332;24477
4333;49406
4335;71082
4339;12020
4345;78533
4354;63132
4356;73953
4358;2427
4361;37301
4366;44500
4372;97559
4383;86286
4393;66720
4408;77112
4416;80526
4421;7103
4425;49879
4429;17231
4444;23183
4446;10474
4447;21389
4460;20546
4466;42638
4471;21504
4480;56526
4486;54182
4490;49263
4494;50931
4505;80872
4506;51181
4527;47965
4528;51979
4530;14408
4532;5787
4533;22840
4541;13839
4544;89787
4547;71467
4549;88459
4554;47766
4558;79772
4561;87529
4563;3024
4567;76686
4570;87907
4573;24560
4575;88068
4579;74911
4580;46523
4595;76162
4603;39494
4606;70083
4609;79963
4621;43139
4632;94574
4641;75882
4642;35887
4648;58934
4652;80005
4658;52408
4675;35585
4678;79105
4684;59550
4692;36624
4696;47698
4698;14753
4705;33179
4715;81375
4718;32994
4734;23793
4756;50148
4761;93079
4782;81610
4785;78431
4790;22793
4806;64813
4811;57413
4816;26985
4817;60696
4834;39983
4841;18224
4843;94981
4848;12849
4855;12446
4858;27395
4865;73916
4867;57048
4870;84821
4873;893
4879;18387
4880;88432
4890;21528
4895;1614
4902;23150
4903;82234
4906;37569
4915;49798
4921;13463
4935;7147
4941;23848
4955;958
4956;11524
4967;35481
4968;16425
4980;44259
4987;69653
4989;3873
4994;42250
4995;515
5002;11081
5007;94398
5018;87017
5026;22830
5038;10315
5049;31174
5052;52362
5057;45020
5080;68604
5089;79623
5105;25991
5109;32749
5122;29991
5128;81595
5135;73954
5144;2797
5147;24660
5150;99033
5153;83552
5171;50205
5173;993
5174;44241
5183;51283
5199;63829
5203;38926
5204;25419
5214;49206
5220;15095
5222;4597
5226;15171
5230;57347
5234;91559
5244;69947
5248;26240
5255;26838
5274;15327
5282;57591
5285;96011
5298;55039
5319;21456
5335;57299
5340;3617
5346;64551
5348;10325
5349;40189
5358;24139
5371;80068
5372;99518
5377;26557
5379;99142
5381;85716
5388;13735
5389;90534
5396;9993
5398;55261
5414;48840
5423;48216
5428;82153
5433;55443
5450;75296
5461;37789
5464;89298
5494;87283
5500;16819
5501;83857
5512;68608
5517;18222
5519;65957
5520;80597
5522;77150
5533;69705
5540;92466
5542;54154
5547;65341
5570;14628
5572;35885
5573;51742
5579;13429
5586;29107
5587;12988
5593;71405
5610;84549
5612;21536
5619;58876
5627;11318
5651;56094
5652;49552
5653;33622
5666;9119
5691;37671
5693;32515
